T,Y,X3,TX3,P3,X2,TX2,P2,X1,TX1,P1,
61,78,0,0,0,0,0,0,0,0,0,
62,78,0,0,0,0,0,0,0,0,0,
63,78,0,0,0,0,0,0,0,0,0,
64,78,0,0,0,0,0,0,0,0,0,
65,78,0,0,0,0,0,0,0,0,0,
66,78,0,0,0,0,0,0,0,0,0,
67,75,0,0,0,0,0,0,0,0,0,
68,75,0,0,0,0,0,0,0,0,0,
69,75,0,0,0,0,0,0,0,0,0,
70,75,0,0,0,0,0,0,0,0,0,
71,75,0,0,0,0,0,0,0,0,0,
72,75,0,0,0,0,0,0,0,0,0,
73,76,0,0,0,0,0,0,0,0,0,
74,75,0,0,0,0,0,0,0,0,0,
75,75,0,0,0,0,0,0,0,0,0,
76,73,0,0,0,0,0,0,0,0,0,
77,73,0,0,0,0,0,0,0,0,0,
78,71,0,0,0,0,0,0,0,0,0,
79,69,0,0,0,0,0,0,0,0,0,
80,69,0,0,0,0,0,0,0,0,0,
81,69,0,0,0,0,0,0,0,0,0,
82,69,0,0,0,0,0,0,0,0,0,
83,66,0,0,0,0,0,0,0,0,0,
84,65,0,0,0,0,0,0,0,0,0,
85,63,0,0,0,0,0,0,0,0,0,
86,61,0,0,0,0,0,0,0,0,0,
87,61,0,0,0,0,0,0,0,0,0,
88,60,0,0,0,0,0,0,0,0,0,
89,60,0,0,0,0,0,0,0,0,0,
90,60,0,0,0,0,0,0,0,0,0,
91,60,0,0,0,0,0,0,0,0,0,
92,63,0,0,0,0,0,0,0,0,0,
93,66,0,0,0,0,0,0,0,0,0,
94,73,0,0,0,0,0,0,0,0,0,
95,68,0,0,0,0,0,0,0,0,0,
96,68,0,0,0,0,0,0,0,0,0,
97,70,0,0,0,0,0,0,0,0,0,
98,73,0,0,0,0,0,0,0,0,0,
99,76,0,0,0,0,0,0,0,0,0,
100,76,0,0,0,0,0,0,0,0,0,
101,81,0,0,0,0,0,0,0,0,0,
102,80,0,0,0,0,0,0,1,102,1,
103,80,0,0,0,0,0,0,1,103,2,
104,80,0,0,0,0,0,0,1,104,3,
105,77,0,0,0,0,0,0,1,105,4,
106,72,0,0,0,0,0,0,1,106,5,
107,72,0,0,0,0,0,0,1,107,6,
108,72,0,0,0,0,0,0,1,108,7,
109,72,0,0,0,0,0,0,1,109,8,
110,78,0,0,0,0,0,0,1,110,9,
111,76,0,0,0,0,0,0,1,111,10,
112,73,0,0,0,0,0,0,1,112,11,
113,70,0,0,0,0,0,0,1,113,12,
114,67,0,0,0,0,0,0,1,114,13,
115,69,0,0,0,0,0,0,1,115,14,
116,69,0,0,0,0,0,0,1,116,15,
117,71,0,0,0,0,0,0,1,117,16,
118,73,0,0,0,0,0,0,1,118,17,
119,73,0,0,0,0,0,0,1,119,18,
120,73,0,0,0,0,0,0,1,120,19,
121,76,0,0,0,0,0,0,1,121,20,
122,76,0,0,0,0,0,0,1,122,21,
123,78,0,0,0,0,0,0,1,123,22,
124,79,0,0,0,0,0,0,1,124,23,
125,79,0,0,0,0,0,0,1,125,24,
126,79,0,0,0,0,0,0,1,126,25,
127,79,0,0,0,0,0,0,1,127,26,
128,80,0,0,0,0,0,0,1,128,27,
129,80,0,0,0,0,0,0,1,129,28,
130,80,0,0,0,0,0,0,1,130,29,
131,80,0,0,0,0,0,0,1,131,30,
132,80,0,0,0,0,0,0,1,132,31,
133,80,0,0,0,0,0,0,1,133,32,
134,80,0,0,0,0,0,0,1,134,33,
135,80,0,0,0,0,0,0,1,135,34,
136,80,0,0,0,0,0,0,1,136,35,
137,80,0,0,0,0,0,0,1,137,36,
138,80,0,0,0,0,0,0,1,138,37,
139,80,0,0,0,0,0,0,1,139,38,
140,76,0,0,0,0,0,0,1,140,39,
141,76,0,0,0,0,0,0,1,141,40,
142,76,0,0,0,0,0,0,1,142,41,
143,79,0,0,0,0,0,0,1,143,42,
144,80,0,0,0,0,0,0,1,144,43,
145,80,0,0,0,0,0,0,1,145,44,
146,80,0,0,0,0,0,0,1,146,45,
147,80,0,0,0,0,0,0,1,147,46,
148,80,0,0,0,0,0,0,1,148,47,
149,80,0,0,0,0,0,0,1,149,48,
150,80,0,0,0,0,0,0,1,150,49,
151,80,0,0,0,0,0,0,1,151,50,
152,80,0,0,0,0,0,0,1,152,51,
153,80,0,0,0,0,0,0,1,153,52,
154,80,0,0,0,0,0,0,1,154,53,
155,80,0,0,0,0,0,0,1,155,54,
156,80,0,0,0,0,0,0,1,156,55,
157,80,0,0,0,0,0,0,1,157,56,
158,80,0,0,0,0,0,0,1,158,57,
159,80,0,0,0,0,0,0,1,159,58,
